,,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Pod(L2),Book(L3),Desk Strategy,Underlier,Expiry,Ticker,,,,,,,,,,,,,,,,
,,,,,,,1353311269.7900043,,,,28444594.602542914,25207855.351304043,13847.018393515144,416565929.4562572,59468666.24225597,1294938443.4176922,,5830058.1479981225,-15549.057608620198,-253463.6101648775,
Beimnet,,,,,,,-23634803.690771416,,,,-862438.7337283609,5254918.099457351,52783.96508162096,-2902913.304960834,5616388.463638554,-31775089.652827658,,1276693.0629911954,-8483.441848750628,-54298.66000988445,
Beimnet,Crypto,,,,,,-22964922.25189142,,,,-866523.3766483604,5254918.099457351,52783.96508162096,-421201.08377547376,5612303.820718555,-31105208.21394766,,1276693.0629911954,-8483.441848750628,-54298.66000988445,
Beimnet,Crypto,Core,,,,,-21771384.388457358,,,,-677530.6454655246,5254918.099457351,52783.96508162096,-1939783.7698213968,4524603.488910195,-21771384.388457358,,0.0,0.0,0.0,
Beimnet,Crypto,Core,AKT,,,159156.6288000001,522033.7424640002,3.28,-0.020000000000000018,-0.6060606060606066,-3183.1325760001464,0.0,0.0,-1867903.364260093,-3183.1325760001464,522033.7424640002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AKT,,,159156.6288000001,522033.7424640002,3.28,-0.020000000000000018,-0.6060606060606066,-3183.1325760001464,0.0,0.0,-1867903.364260093,-3183.1325760001464,522033.7424640002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AKT,,AKT,159156.6288000001,522033.7424640002,3.28,-0.020000000000000018,-0.6060606060606066,-3183.1325760001464,0.0,0.0,-1867903.364260093,-3183.1325760001464,522033.7424640002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,,-34997.89999999997,-997379.111775978,28.498255946099,1.0383124448350003,3.7811892977391093,-36338.75511309103,0.0,0.0,-493212.69443878025,-36338.75511309103,-997379.111775978,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,,-34997.89999999997,-997379.111775978,28.498255946099,1.0383124448350003,3.7811892977391093,-36338.75511309103,0.0,0.0,-493212.69443878025,-36338.75511309103,-997379.111775978,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,AVAX,,AVAX,-34997.89999999997,-997379.111775978,28.498255946099,1.0383124448350003,3.7811892977391093,-36338.75511309103,0.0,0.0,-493212.69443878025,-36338.75511309103,-997379.111775978,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,,-80.64087814999566,-5613457.128553732,69610.56547663557,1602.2338777009863,2.3559376329797903,-197374.59729535592,5254918.099457351,52783.96508162096,-441865.2997113734,5004759.537080363,-5613457.128553732,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,,-80.64087814999566,-5613457.128553732,69610.56547663557,1602.2338777009863,2.3559376329797903,-197374.59729535592,5254918.099457351,52783.96508162096,-441865.2997113734,5004759.537080363,-5613457.128553732,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,BTC,,BTC,-80.64087814999566,-5613457.128553732,69610.56547663557,1602.2338777009863,2.3559376329797903,-197374.59729535592,5254918.099457351,52783.96508162096,-441865.2997113734,5004759.537080363,-5613457.128553732,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,COMP,,,-10000.0,-473518.8306739699,47.351883067397,-0.6605415499940008,-1.3757721157759242,6605.415499939903,0.0,0.0,-3242.186890614552,6605.415499939903,-473518.8306739699,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,COMP,,,-10000.0,-473518.8306739699,47.351883067397,-0.6605415499940008,-1.3757721157759242,6605.415499939903,0.0,0.0,-3242.186890614552,6605.415499939903,-473518.8306739699,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,COMP,,COMP,-10000.0,-473518.8306739699,47.351883067397,-0.6605415499940008,-1.3757721157759242,6605.415499939903,0.0,0.0,-3242.186890614552,6605.415499939903,-473518.8306739699,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,,-3875.8898411399905,-13027275.167716071,3361.105630361312,100.515451190171,3.0827379605161713,-389586.8161455856,0.0,0.0,-184901.3221736995,-389586.8161455856,-13027275.167716071,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,,-3875.8898411399905,-13027275.167716071,3361.105630361312,100.515451190171,3.0827379605161713,-389586.8161455856,0.0,0.0,-184901.3221736995,-389586.8161455856,-13027275.167716071,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,ETH,,ETH,-3875.8898411399905,-13027275.167716071,3361.105630361312,100.515451190171,3.0827379605161713,-389586.8161455856,0.0,0.0,-184901.3221736995,-389586.8161455856,-13027275.167716071,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LDO,,,331470.05749999976,538834.3686203668,1.625589872836,0.058813280612000085,3.753775803384713,19494.84150622336,0.0,0.0,417317.608663777,19494.84150622336,538834.3686203668,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LDO,,,331470.05749999976,538834.3686203668,1.625589872836,0.058813280612000085,3.753775803384713,19494.84150622336,0.0,0.0,417317.608663777,19494.84150622336,538834.3686203668,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LDO,,LDO,331470.05749999976,538834.3686203668,1.625589872836,0.058813280612000085,3.753775803384713,19494.84150622336,0.0,0.0,417317.608663777,19494.84150622336,538834.3686203668,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,,40000.0,234583.187,5.864579675,0.013255219999999568,0.22653366946132825,530.2087999999931,0.0,0.0,75278.36123332,530.2087999999931,234583.187,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,,40000.0,234583.187,5.864579675,0.013255219999999568,0.22653366946132825,530.2087999999931,0.0,0.0,75278.36123332,530.2087999999931,234583.187,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,LEO,,LEO,40000.0,234583.187,5.864579675,0.013255219999999568,0.22653366946132825,530.2087999999931,0.0,0.0,75278.36123332,530.2087999999931,234583.187,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SOL,,,-3752.6029189299898,-718328.0801154748,191.421286939762,6.1448602053879995,3.31659041233439,-23059.22034315497,0.0,0.0,354085.6410215673,-23059.22034315497,-718328.0801154748,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SOL,,,-3752.6029189299898,-718328.0801154748,191.421286939762,6.1448602053879995,3.31659041233439,-23059.22034315497,0.0,0.0,354085.6410215673,-23059.22034315497,-718328.0801154748,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SOL,,SOL,-3752.6029189299898,-718328.0801154748,191.421286939762,6.1448602053879995,3.31659041233439,-23059.22034315497,0.0,0.0,354085.6410215673,-23059.22034315497,-718328.0801154748,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,,-1857957.5,-1438778.1345525,0.774387,0.021651000000000087,2.8763072312205193,-40226.63783250004,0.0,0.0,61221.557582499925,-40226.63783250004,-1438778.1345525,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,,-1857957.5,-1438778.1345525,0.774387,0.021651000000000087,2.8763072312205193,-40226.63783250004,0.0,0.0,61221.557582499925,-40226.63783250004,-1438778.1345525,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,SUI,,SUI,-1857957.5,-1438778.1345525,0.774387,0.021651000000000087,2.8763072312205193,-40226.63783250004,0.0,0.0,61221.557582499925,-40226.63783250004,-1438778.1345525,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,,-178453.84100000004,-422935.60317000025,2.37,0.03000000000000025,1.2820512820512928,-5353.61523000017,0.0,0.0,-31397.454440000176,-5353.61523000017,-422935.60317000025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,,-178453.84100000004,-422935.60317000025,2.37,0.03000000000000025,1.2820512820512928,-5353.61523000017,0.0,0.0,-31397.454440000176,-5353.61523000017,-422935.60317000025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,WLD,,WLD,-178453.84100000004,-422935.60317000025,2.37,0.03000000000000025,1.2820512820512928,-5353.61523000017,0.0,0.0,-31397.454440000176,-5353.61523000017,-422935.60317000025,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,,-1117776.0,-375163.629984,0.335634,0.008085999999999982,2.4686458167963115,-9038.336735999997,0.0,0.0,174835.38359200003,-9038.336735999997,-375163.629984,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,,-1117776.0,-375163.629984,0.335634,0.008085999999999982,2.4686458167963115,-9038.336735999997,0.0,0.0,174835.38359200003,-9038.336735999997,-375163.629984,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Core,XAI,,XAI,-1117776.0,-375163.629984,0.335634,0.008085999999999982,2.4686458167963115,-9038.336735999997,0.0,0.0,174835.38359200003,-9038.336735999997,-375163.629984,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,,,,1151605.4766290002,20908824.10991413,18.156238863259674,0.6615088586043782,3.781189297739106,761797.2244074014,0.0,0.0,3908824.0639168313,761797.2244074014,20908824.10991413,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,,1151605.4766290002,20908824.10991413,18.156238863259674,0.6615088586043782,3.781189297739106,761797.2244074014,0.0,0.0,3908824.0639168313,761797.2244074014,20908824.10991413,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,,1151605.4766290002,20908824.10991413,18.156238863259674,0.6615088586043782,3.781189297739106,761797.2244074014,0.0,0.0,3908824.0639168313,761797.2244074014,20908824.10991413,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Locked,LOCKED_AVAX,,LOCKED_AVAX,1151605.4766290002,20908824.10991413,18.156238863259674,0.6615088586043782,3.781189297739106,761797.2244074014,0.0,0.0,3908824.0639168313,761797.2244074014,20908824.10991413,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,Options ,,,,,8210123.125932513,,,,153622.55905583844,0.0,0.0,84195.541159444,1430315.6220470339,69837.16387627088,,1276693.0629911956,-8483.441848750628,-54298.66000988446,
Beimnet,Crypto,Options ,BTC,,,,8210123.125932513,,,,153622.55905583844,0.0,0.0,84195.541159444,1430315.6220470339,69837.16387627088,,1276693.0629911956,-8483.441848750628,-54298.66000988446,
Beimnet,Crypto,Options ,BTC,2024AUG02,,,12405325.920300055,,,,264807.6485190819,0.0,0.0,-6866.004698849196,1780100.8306239657,578273.9667279943,,1515293.1821048837,8831.638087477093,-65455.558750980315,
Beimnet,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-70000=GALAXY_HK,400.0,13799062.833667716,1549.528518095627,704.5140658809178,83.37301971989328,281818.57403988554,0.0,0.0,-115325.6450742308,2175459.941995886,619811.4072382508,49.55807620288367,1893641.3679560006,11324.703713491452,-86416.86681836941,0.5753240950433619
Beimnet,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-76000=GALAXY_HK,-200.0,-1393736.9133676607,207.687202551283,85.04003203220918,69.33713323535983,-17010.925520803634,0.0,0.0,108459.6403753816,-395359.11137192044,-41537.4405102566,10.010958134189135,-378348.18585111684,-2493.0656260143587,20961.308067389098,0.6339069798046593
Beimnet,Crypto,Options ,BTC,2024AUG30,,-100.0,-1781125.8235739414,1700.9536494124368,547.131270496453,47.41902050907375,-54714.00872822362,0.0,0.0,42403.75338017801,-184404.4279960835,-170095.36494124366,25.587004090230625,-129690.41926785988,-6690.948196350077,6084.879488042071,0.5778404059631743
Beimnet,Crypto,Options ,BTC,2024AUG30,BTCUSD-2024AUG30-C-80000=GALAXY_HK,-100.0,-1781125.8235739414,1700.9536494124368,547.131270496453,47.41902050907375,-54714.00872822362,0.0,0.0,42403.75338017801,-184404.4279960835,-170095.36494124366,25.587004090230625,-129690.41926785988,-6690.948196350077,6084.879488042071,0.5778404059631743
Beimnet,Crypto,Options ,BTC,2024SEP27,,-100.0,-2414076.9707936016,3383.4143791047973,564.7031112361474,20.034088545122394,-56471.080735019816,0.0,0.0,48657.79247811518,-165380.78058084822,-338341.4379104797,34.67974946423721,-108909.6998458284,-10624.131739877645,5072.01925305379,0.5706880446007053
Beimnet,Crypto,Options ,BTC,2024SEP27,BTCUSD-2024SEP27-C-80000=GALAXY_HK,-100.0,-2414076.9707936016,3383.4143791047973,564.7031112361474,20.034088545122394,-56471.080735019816,0.0,0.0,48657.79247811518,-165380.78058084822,-338341.4379104797,34.67974946423721,-108909.6998458284,-10624.131739877645,5072.01925305379,0.5706880446007053
Beimnet,Crypto,SpecialSits,,,,-1063661.059,-30312485.099280708,28.498255946099,1.0383124448350003,3.7811892977391093,-1104412.5146460757,0.0,0.0,-2630634.830230352,-1104412.5146460757,-30312485.099280708,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,,-1063661.059,-30312485.099280708,28.498255946099,1.0383124448350003,3.7811892977391093,-1104412.5146460757,0.0,0.0,-2630634.830230352,-1104412.5146460757,-30312485.099280708,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,,-1063661.059,-30312485.099280708,28.498255946099,1.0383124448350003,3.7811892977391093,-1104412.5146460757,0.0,0.0,-2630634.830230352,-1104412.5146460757,-30312485.099280708,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,SpecialSits,AVAX,,AVAX,-1063661.059,-30312485.099280708,28.498255946099,1.0383124448350003,3.7811892977391093,-1104412.5146460757,0.0,0.0,-2630634.830230352,-1104412.5146460757,-30312485.099280708,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,,,,0.0,0.0,3.28,-0.020000000000000018,-0.6060606060606066,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,,0.0,0.0,3.28,-0.020000000000000018,-0.6060606060606066,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,,0.0,0.0,3.28,-0.020000000000000018,-0.6060606060606066,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,StratOps,AKT,,AKT,0.0,0.0,3.28,-0.020000000000000018,-0.6060606060606066,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,,,,-204232.1459999988,-669881.4388799965,3.28,-0.020000000000000018,-0.6060606060606066,4084.6429199995328,0.0,0.0,-2481712.22118536,4084.6429199995328,-669881.4388799965,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,,,,-204232.1459999988,-669881.4388799965,3.28,-0.020000000000000018,-0.6060606060606066,4084.6429199995328,0.0,0.0,-2481712.22118536,4084.6429199995328,-669881.4388799965,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,,-204232.1459999988,-669881.4388799965,3.28,-0.020000000000000018,-0.6060606060606066,4084.6429199995328,0.0,0.0,-2481712.22118536,4084.6429199995328,-669881.4388799965,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,,-204232.1459999988,-669881.4388799965,3.28,-0.020000000000000018,-0.6060606060606066,4084.6429199995328,0.0,0.0,-2481712.22118536,4084.6429199995328,-669881.4388799965,0.0,0.0,0.0,0.0,0.0
Beimnet,StratOps,,AKT,,AKT,-204232.1459999988,-669881.4388799965,3.28,-0.020000000000000018,-0.6060606060606066,4084.6429199995328,0.0,0.0,-2481712.22118536,4084.6429199995328,-669881.4388799965,0.0,0.0,0.0,0.0,0.0
Bouchra,,,,,,,12170646.351520108,,,,255861.89304085012,0.0,0.0,2638635.1368574686,-54432.47007793152,7779035.099206725,,-310294.36555189063,-19977.299696469352,21323.17430618846,
Bouchra,Crypto,,,,,,11834949.389825778,,,,255861.20674736268,0.0,0.0,2736584.810195276,-54433.15637141897,7759927.424209525,,-310294.36311878136,-21148.7170870329,21323.17464551636,
Bouchra,Crypto,Core,,,,,3156030.7725567827,,,,67980.13822407443,0.0,0.0,2157801.2210866893,67980.13822407443,3156030.7725567827,,0.0,0.0,0.0,
Bouchra,Crypto,Core,BTC,,,60.05994848999998,4180806.9768865043,69610.56547663557,1602.2338777009863,2.3559376329797903,96230.08416365238,0.0,0.0,1625838.1586674254,96230.08416365238,4180806.9768865043,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,,60.05994848999998,4180806.9768865043,69610.56547663557,1602.2338777009863,2.3559376329797903,96230.08416365238,0.0,0.0,1625838.1586674254,96230.08416365238,4180806.9768865043,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,BTC,,BTC,60.05994848999998,4180806.9768865043,69610.56547663557,1602.2338777009863,2.3559376329797903,96230.08416365238,0.0,0.0,1625838.1586674254,96230.08416365238,4180806.9768865043,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,848095.8490655487,0.133053117555,0.003587000069999985,2.7706091289990034,22863.950322000557,0.0,0.0,-111916.14742961827,22863.950322000557,848095.8490655487,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,,6374114.824592309,848095.8490655487,0.133053117555,0.003587000069999985,2.7706091289990034,22863.950322000557,0.0,0.0,-111916.14742961827,22863.950322000557,848095.8490655487,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,DOGE,,DOGE,6374114.824592309,848095.8490655487,0.133053117555,0.003587000069999985,2.7706091289990034,22863.950322000557,0.0,0.0,-111916.14742961827,22863.950322000557,848095.8490655487,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,-1761.6291091799997,-5921021.517473278,3361.105630361312,100.515451190171,3.0827379605161713,-177070.9447389668,0.0,0.0,129813.29093180172,-177070.9447389668,-5921021.517473278,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,,-1761.6291091799997,-5921021.517473278,3361.105630361312,100.515451190171,3.0827379605161713,-177070.9447389668,0.0,0.0,129813.29093180172,-177070.9447389668,-5921021.517473278,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,ETH,,ETH,-1761.6291091799997,-5921021.517473278,3361.105630361312,100.515451190171,3.0827379605161713,-177070.9447389668,0.0,0.0,129813.29093180172,-177070.9447389668,-5921021.517473278,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,3194796.3876724336,191.421286939762,6.1448602053879995,3.31659041233439,102556.91778471542,0.0,0.0,832305.7677835668,102556.91778471542,3194796.3876724336,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,,16689.869965600003,3194796.3876724336,191.421286939762,6.1448602053879995,3.31659041233439,102556.91778471542,0.0,0.0,832305.7677835668,102556.91778471542,3194796.3876724336,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,SOL,,SOL,16689.869965600003,3194796.3876724336,191.421286939762,6.1448602053879995,3.31659041233439,102556.91778471542,0.0,0.0,832305.7677835668,102556.91778471542,3194796.3876724336,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,524072.9207345735,1.941041442856,0.05784546646800015,3.07166472280536,15618.029524672893,0.0,0.0,-297520.00450668647,15618.029524672893,524072.9207345735,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,,269995.74,524072.9207345735,1.941041442856,0.05784546646800015,3.07166472280536,15618.029524672893,0.0,0.0,-297520.00450668647,15618.029524672893,524072.9207345735,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,STX,,STX,269995.74,524072.9207345735,1.941041442856,0.05784546646800015,3.07166472280536,15618.029524672893,0.0,0.0,-297520.00450668647,15618.029524672893,524072.9207345735,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,329280.15567099996,6.77,0.15999999999999925,2.4205748865355408,7782.101167999965,0.0,0.0,-20719.844359800045,7782.101167999965,329280.15567099996,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,,48638.1323,329280.15567099996,6.77,0.15999999999999925,2.4205748865355408,7782.101167999965,0.0,0.0,-20719.844359800045,7782.101167999965,329280.15567099996,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Core,TON,,TON,48638.1323,329280.15567099996,6.77,0.15999999999999925,2.4205748865355408,7782.101167999965,0.0,0.0,-20719.844359800045,7782.101167999965,329280.15567099996,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,,,,,2258947.20176489,,,,28228.508000956725,0.0,0.0,69375.21676486814,28228.508000956725,2258947.20176489,,0.0,0.0,0.0,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,2258947.20176489,,,,28228.508000956725,0.0,0.0,69375.21676486814,28228.508000956725,2258947.20176489,,0.0,0.0,0.0,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,,,2258947.20176489,,,,28228.508000956725,0.0,0.0,69375.21676486814,28228.508000956725,2258947.20176489,,0.0,0.0,0.0,
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,FIP,27144.0,281375.0273980692,10.36601191416406,0.39986344391849116,4.012216405488071,10853.893321723526,0.0,0.0,32420.257398047557,10853.893321723526,281375.0273980692,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,NVDA,7735.0,876811.6667788903,113.35638872383844,0.34006514851606084,0.3008991424937093,2630.4039237717225,0.0,0.0,-23300.33322110973,2630.4039237717225,876811.6667788903,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,E_CRYPTO_EQUITY ,BTC,,WULF,245800.0,1100760.5075879307,4.47827708538621,0.059984584033610844,1.3576417590109164,14744.210755461474,0.0,0.0,60255.29258793031,14744.210755461474,1100760.5075879307,0.0,0.0,0.0,0.0,0.0
Bouchra,Crypto,Options ,,,,,4686729.004140083,,,,133643.34453864238,0.0,0.0,487480.8540770188,-176651.01858013927,611707.0385238292,,-310294.3631187814,-21148.717087032903,21323.174645516363,
Bouchra,Crypto,Options ,BTC,,,,5430703.30085567,,,,159364.90629198984,0.0,0.0,434002.6295488986,-118850.75217305832,723228.582969246,,-278215.65846504795,-17556.07496405558,19349.563729711626,
Bouchra,Crypto,Options ,BTC,2024AUG02,,,5786382.575935469,,,,141853.4992639298,0.0,0.0,136329.54346749905,514373.71840933047,327026.97274626186,,372520.2191454007,2004.1792576077012,-13386.62736452582,
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-69000=GALAXY_HK,150.0,6190699.938957688,2070.9963062306633,897.2472711658847,76.44285484898109,134590.91295153846,0.0,0.0,47703.26821125526,825281.3590494471,310649.4459345995,59.28889191431306,690690.4460979087,4131.3591277889245,-31532.251976617885,0.5754348950401796
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-70000=GALAXY_HK,100.0,3449765.7084169295,1549.528518095627,704.5140658809178,83.37301971989328,70454.64350997141,0.0,0.0,-27118.911268557684,543864.9854989714,154952.85180956268,49.55807620288366,473410.3419890001,2831.1759283728634,-21604.216704592356,0.5753240950433619
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-72000=GALAXY_HK,-150.0,-3282475.860290481,816.9092071181367,383.83875068657835,88.63194082767905,-57579.15027270146,0.0,0.0,30910.281262564793,-678657.391217638,-122536.3810677205,31.436567498193234,-621078.2409449366,-3778.481977370354,29331.878266367854,0.585271988058089
Bouchra,Crypto,Options ,BTC,2024AUG02,BTCUSD-2024AUG02-C-78000=GALAXY_HK,-150.0,-571607.2111486689,106.92629286786541,37.41170744863393,53.81850042406185,-5612.906924878596,0.0,0.0,84834.90526223669,-176115.23492145014,-16038.943930179812,5.474333838402983,-170502.32799657155,-1179.8738211837328,10417.96305031657,0.6657202702139744
