,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,
,,,,,,1325505449.1014578,,,,-3924374.830320349,0.0,0.0,364429436.55273014,1374053.87017617,1277894897.3496428,,5298427.384988552,-11426.613337892666,-222298.21544862454,
Beimnet,,,,,,-16960104.7496586,,,,76876.08648756848,0.0,0.0,-2299563.816091778,1227528.5713019841,-20065741.81074761,,1150652.4848144157,-7206.849440037056,-47955.79413832023,
Beimnet,Crypto,,,,,-16308604.203918599,,,,74833.76502756827,0.0,0.0,163767.51195358147,1225486.249841984,-19414241.265007608,,1150652.4848144157,-7206.849440037056,-47955.79413832023,
Beimnet,Crypto,AKT,,,159156.6288000001,507709.645872,3.19,-0.010000000000000231,-0.3125000000000072,-1591.5662879999586,0.0,0.0,-1726029.5496520912,-1591.5662879999586,507709.645872,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,Core,,159156.6288000001,507709.645872,3.19,-0.010000000000000231,-0.3125000000000072,-1591.5662879999586,0.0,0.0,-1882227.4608520912,-1591.5662879999586,507709.645872,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,Core,AKT,159156.6288000001,507709.645872,3.19,-0.010000000000000231,-0.3125000000000072,-1591.5662879999586,0.0,0.0,-1882227.4608520912,-1591.5662879999586,507709.645872,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,StratOps,,0.0,0.0,3.19,-0.010000000000000231,-0.3125000000000072,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,StratOps,AKT,0.0,0.0,3.19,-0.010000000000000231,-0.3125000000000072,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,,,-1098658.9589999998,-29979942.519176878,27.287760477068,-0.136255044104999,-0.49684570809771406,149697.82491489826,0.0,0.0,-1793925.8327893175,149697.82491489826,-29979942.519176878,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,Core,,-34997.89999999997,-955014.312400378,27.287760477068,-0.136255044104999,-0.49684570809771406,4768.6404080830835,0.0,0.0,-450847.89506317984,4768.6404080830835,-955014.312400378,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,Core,AVAX,-34997.89999999997,-955014.312400378,27.287760477068,-0.136255044104999,-0.49684570809771406,4768.6404080830835,0.0,0.0,-450847.89506317984,4768.6404080830835,-955014.312400378,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,SpecialSits,,-1063661.059,-29024928.2067765,27.287760477068,-0.136255044104999,-0.49684570809771406,144929.18450681516,0.0,0.0,-1343077.9377261377,144929.18450681516,-29024928.2067765,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,SpecialSits,AVAX,-1063661.059,-29024928.2067765,27.287760477068,-0.136255044104999,-0.49684570809771406,144929.18450681516,0.0,0.0,-1343077.9377261377,144929.18450681516,-29024928.2067765,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,,,,10559321.365428565,,,,-42151.859871234665,0.0,0.0,-465659.71211702377,1108500.624943181,7453684.304339554,,1150652.4848144157,-7206.8494400370555,-47955.79413832023,
Beimnet,Crypto,BTC,Core,,113.04614080000259,7587935.739412919,67122.46597464626,-240.6250508739613,-0.35720607117449754,-27201.733381087775,0.0,0.0,-345765.5781931039,-27201.733381087775,7587935.739412919,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,Core,BTC,113.04614080000259,7587935.739412919,67122.46597464626,-240.6250508739613,-0.35720607117449754,-27201.733381087775,0.0,0.0,-345765.5781931039,-27201.733381087775,7587935.739412919,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,Options ,,,2971385.6260156464,,,,-14950.12649014689,0.0,0.0,-119894.13392391984,1135702.3583242688,-134251.43507336453,,1150652.4848144157,-7206.8494400370555,-47955.79413832023,
Beimnet,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-70000=GALAXY_HK,400.0,6474914.257206086,513.8960110456046,-68.7778647797586,-11.803835324234175,-27500.893996517,0.0,0.0,-529581.3436663717,1485782.3634497274,205558.40441824184,24.116047299468313,1513283.2574462444,8143.529807304518,-67171.30086107865,0.5682906215879687
Beimnet,Crypto,BTC,Options ,BTCUSD-2024AUG02-C-76000=GALAXY_HK,-200.0,-487034.0625331944,63.48686530407667,-9.804796395063931,-13.377778819249912,1959.4129742111472,0.0,0.0,137301.08063438302,-157220.84079165885,-12697.373060815335,3.6279512042745763,-159180.25376586997,-1039.5647072771094,10406.209686666083,0.6896685361172711
Beimnet,Crypto,BTC,Options ,BTCUSD-2024AUG30-C-80000=GALAXY_HK,-100.0,-1174336.990358333,971.3145834887146,-37.23852700601856,-3.6922722877481053,3723.1494055173243,0.0,0.0,115367.83835604401,-100907.43302496072,-97131.45834887146,17.4954387224377,-104630.58243047804,-5123.046295264469,4548.168981272604,0.5583258434307167
Beimnet,Crypto,BTC,Options ,BTCUSD-2024SEP27-C-80000=GALAXY_HK,-100.0,-1842157.5782989126,2299.8100808191957,-68.68906292697284,-2.900109257305023,6868.205126641638,0.0,0.0,157018.29075202477,-91951.73130883914,-229981.00808191957,27.444724378790543,-98819.93643548078,-9187.768244799994,4261.128054819736,0.5513898024555254
Beimnet,Crypto,COMP,,,-10000.0,-475606.7718980002,47.5606771898,-0.15373671019399637,-0.3222018204314896,1537.3671019398407,0.0,0.0,-5330.128114644649,1537.3671019398407,-475606.7718980002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,COMP,Core,,-10000.0,-475606.7718980002,47.5606771898,-0.15373671019399637,-0.3222018204314896,1537.3671019398407,0.0,0.0,-5330.128114644649,1537.3671019398407,-475606.7718980002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,COMP,Core,COMP,-10000.0,-475606.7718980002,47.5606771898,-0.15373671019399637,-0.3222018204314896,1537.3671019398407,0.0,0.0,-5330.128114644649,1537.3671019398407,-475606.7718980002,0.0,0.0,0.0,0.0,0.0
