,,,,, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,,,,,
,,,,," $1,435,933,033 ",,,,7138045.919,7988415.424,-12932.46674,406788142.8,19400938.56,1350031122,,4261545.258,44471.44276,-280269.7224,,,,,,
Beimnet,,,,," $13,933,395 ",,,,-162177.3925,7988415.424,-12924.89702,-3302381.13,8235100.818,-3771899.668,,395937.8897,18776.62086,-41567.63667,,,,,,
Beimnet,Crypto,,,," $14,680,884 ",,,,-133584.892,7988415.424,-12924.89702,-743060.6933,8263693.319,-3024410.014,,395937.8897,18776.62086,-41567.63667,,,,,,
Beimnet,Crypto,AKT,,," $582,513 ",3.66,0.14,3.977272727,22281.92803,0,0,-1651225.934,22281.92803,582513.2614,0,0,0,0,0,,,,,
Beimnet,Crypto,AKT,Core,," $582,513 ",3.66,0.14,3.977272727,22281.92803,0,0,-1807423.845,22281.92803,582513.2614,0,0,0,0,0,,,,,
Beimnet,Crypto,AKT,Core,AKT," $582,513 ",3.66,0.14,3.977272727,22281.92803,0,0,-1807423.845,22281.92803,582513.2614,0,0,0,0,0,,,,,
Beimnet,Crypto,AKT,StratOps,, $-   ,3.66,0.14,3.977272727,0,0,0,156197.9112,0,0,0,0,0,0,0,,,,,
Beimnet,Crypto,AKT,StratOps,AKT, $-   ,3.66,0.14,3.977272727,0,0,0,156197.9112,0,0,0,0,0,0,0,,,,,
Beimnet,Crypto,AVAX,,," $(36,280,663)",32.25572087,0.010779634,0.033430465,-12124.74088,0,0,-6792924.724,-12124.74088,-36280662.59,0,0,0,0,0,,,,,
Beimnet,Crypto,AVAX,Core,," $(2,304,796)",32.25572087,0.010779634,0.033430465,-770.2466612,0,0,-286236.6652,-770.2466612,-2304796.408,0,0,0,0,0,,,,,
Beimnet,Crypto,AVAX,Core,AVAX," $(2,304,796)",32.25572087,0.010779634,0.033430465,-770.2466612,0,0,-286236.6652,-770.2466612,-2304796.408,0,0,0,0,0,,,,,
Beimnet,Crypto,AVAX,SpecialSits,," $(33,975,866)",32.25572087,0.010779634,0.033430465,-11354.49421,0,0,-6506688.058,-11354.49421,-33975866.18,0,0,0,0,0,,,,,
Beimnet,Crypto,AVAX,SpecialSits,AVAX," $(33,975,866)",32.25572087,0.010779634,0.033430465,-11354.49421,0,0,-6506688.058,-11354.49421,-33975866.18,0,0,0,0,0,,,,,
Beimnet,Crypto,BTC,,," $36,202,613 ",,,,-144478.8572,7988415.424,-12924.89702,1430439.957,8252799.354,18497319.18,,395937.8897,18776.62086,-41567.63667,,,,,,
Beimnet,Crypto,BTC,Core,," $16,329,545 ",67810.73776,4.536508514,0.006690404,-12366.87912,7988415.424,-12924.89702,364008.4414,7988973.442,16329544.91,0,0,0,0,0,,,,,
Beimnet,Crypto,BTC,Core,BTC," $16,329,545 ",67810.73776,4.536508514,0.006690404,-12366.87912,7988415.424,-12924.89702,364008.4414,7988973.442,16329544.91,0,0,0,0,0,,,,,
Beimnet,Crypto,BTC,Options ,," $19,873,068 ",,,,-132111.9781,0,0,1066431.515,263825.9116,2167774.266,,395937.8897,18776.62086,-41567.63667,,,,,,
