,,,,,Quantity, Delta ,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol,,,,,,,
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1425220826,,,,-7662725.504,-2999857.373,-8.480640111,407629190.7,-7426799.5,1346905285,,3235775.289,37593.76727,-249714.7124,,,,,,,,
Beimnet,,,,,,-1267340,,,,141379.8751,0,0,-3252694.667,116195.4613,-16481923.89,,-25184.41372,11473.39809,-16940.48255,,,,,,,,
Beimnet,Crypto,,,,,-525977,,,,133210.5892,0,0,-699501.1947,108026.1755,-15740561.2,,-25184.41372,11473.39809,-16940.48255,,,,,,,,
Beimnet,Crypto,AKT,,,159156.6288,577739,3.63,-0.04,-1.089918256,-6366.265152,0,0,-1656000.633,-6366.265152,577738.5625,0,0,0,0,0,,,,,,,
Beimnet,Crypto,AKT,Core,,159156.6288,577739,3.63,-0.04,-1.089918256,-6366.265152,0,0,-1812198.544,-6366.265152,577738.5625,0,0,0,0,0,,,,,Spot Delta,Options Delta,Delta
Beimnet,Crypto,AKT,Core,AKT,159156.6288,577739,3.63,-0.04,-1.089918256,-6366.265152,0,0,-1812198.544,-6366.265152,577738.5625,0,0,0,0,0,,,,BTC,,,
Beimnet,Crypto,AKT,StratOps,,0,,3.63,-0.04,-1.089918256,0,0,0,156197.9112,0,0,0,0,0,0,0,,,,Beimnet,"$5,475,543 ","$17,235,532 ","$22,711,074 "
Beimnet,Crypto,AKT,StratOps,AKT,0, $-   ,3.63,-0.04,-1.089918256,0,0,0,156197.9112,0,0,0,0,0,0,0,,,,Bouchra,"$14,126,746 ","$6,211,384 ","$20,338,129 "
Beimnet,Crypto,AVAX,,,-1124782.259,-35973994,31.98307413,-0.34084571,-1.054468988,383377.208,0,0,-6669376.239,383377.208,-35973994.37,0,0,0,0,0,,,,Eduardo,"$155,035 ", $-   ,"$155,035 "
Beimnet,Crypto,AVAX,SpecialSits,,-1124782.259,-35973994,31.98307413,-0.34084571,-1.054468988,383377.208,0,0,-6669376.239,383377.208,-35973994.37,0,0,0,0,0,,,,Felman, $-   , $-   , $-   
Beimnet,Crypto,AVAX,SpecialSits,AVAX,-1124782.259,-35973994,31.98307413,-0.34084571,-1.054468988,383377.208,0,0,-6669376.239,383377.208,-35973994.37,0,0,0,0,0,,,,Novo,"$626,044,086 ","$39,900,141 ","$665,944,227 "
Beimnet,Crypto,BTC,,,,22711074,,,,-128091.2688,0,0,1365727.462,-153275.6825,7496490.331,,-25184.41372,11473.39809,-16940.48255,,,,,ETH,,, $-   
Beimnet,Crypto,BTC,Core,,80.84678273,5475543,67727.40266,-400.1461421,-0.587348509,-32350.52821,0,0,296126.0514,-32350.52821,5475542.608,0,0,0,0,0,,,,Beimnet,"($6,402,099)", $-   ,"($6,402,099)"
