,,,,,Quantity,Delta,Price,Price Change,Price Change (%),Period PnL,Traded Delta,Traded PnL,YTD PnL,Period Delta Change,Mkt Value,%Delta,$Gamma,$Vega,$Theta,ImpliedVol
Pod(L2),Book(L3),Underlier,Desk Strategy,Ticker,,,,,,,,,,,,,,,,
,,,,,,1425220826.3558922,,,,-7662725.504115451,-2999857.3733109063,-8.480640111374669,407629190.68564093,-7426799.499764591,1346905284.7133915,,3235775.2885146607,37593.7672708498,-249714.71237121243,
Beimnet,,,,,,-1267340.1057587285,,,,141379.87506330854,0.0,0.0,-3252694.6669492233,116195.46134793895,-16481923.89420566,,-25184.413715369534,11473.398087792482,-16940.48255186434,
Beimnet,Crypto,,,,,-525977.4157787338,,,,133210.58922330805,0.0,0.0,-699501.1946638608,108026.17550793843,-15740561.204225667,,-25184.413715369534,11473.398087792482,-16940.48255186434,
Beimnet,Crypto,AKT,,,159156.6288000001,577738.5625440002,3.6300000000000003,-0.040000000000000036,-1.0899182561307912,-6366.26515200038,0.0,0.0,-1656000.632980092,-6366.26515200038,577738.5625440002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,Core,,159156.6288000001,577738.5625440002,3.63,-0.040000000000000036,-1.0899182561307912,-6366.26515200038,0.0,0.0,-1812198.544180092,-6366.26515200038,577738.5625440002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,Core,AKT,159156.6288000001,577738.5625440002,3.63,-0.040000000000000036,-1.0899182561307912,-6366.26515200038,0.0,0.0,-1812198.544180092,-6366.26515200038,577738.5625440002,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,StratOps,,0.0,0.0,3.63,-0.040000000000000036,-1.0899182561307912,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AKT,StratOps,AKT,0.0,0.0,3.63,-0.040000000000000036,-1.0899182561307912,0.0,0.0,0.0,156197.91119999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,,,-1124782.2589999996,-35973994.36771387,31.983074128229,-0.34084571034200195,-1.054468987809092,383377.2080489368,0.0,0.0,-6669376.23866351,383377.2080489368,-35973994.36771387,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,SpecialSits,,-1124782.2589999996,-35973994.36771387,31.983074128229,-0.34084571034200195,-1.054468987809092,383377.2080489368,0.0,0.0,-6669376.23866351,383377.2080489368,-35973994.36771387,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,AVAX,SpecialSits,AVAX,-1124782.2589999996,-35973994.36771387,31.983074128229,-0.34084571034200195,-1.054468987809092,383377.2080489368,0.0,0.0,-6669376.23866351,383377.2080489368,-35973994.36771387,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,,,,22711074.11991761,,,,-128091.26883010336,0.0,0.0,1365727.4622961816,-153275.68254547296,7496490.331470679,,-25184.413715369534,11473.39808779248,-16940.48255186435,
Beimnet,Crypto,BTC,Core,,80.84678273000914,5475542.607890569,67727.40266210769,-400.14614211258595,-0.5873485089893594,-32350.528211630735,0.0,0.0,296126.05144489976,-32350.528211630735,5475542.607890569,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,Core,BTC,80.84678273000914,5475542.607890569,67727.40266210769,-400.14614211258595,-0.5873485089893594,-32350.528211630735,0.0,0.0,296126.05144489976,-32350.528211630735,5475542.607890569,0.0,0.0,0.0,0.0,0.0
Beimnet,Crypto,BTC,Options ,,,17235531.51202704,,,,-95740.74061847263,0.0,0.0,1069601.4108512818,-120925.15433384222,2020947.7235801097,,-25184.413715369534,11473.39808779248,-16940.48255186435,
